dataset,model,acc_annual,profit_annual_pct,acc_monthly,profit_monthly_pct,elapsed_s
dataset_basic_daily,LR,0.6551724137931034,-1.561732681233008,0.8199233716475096,-9.941043205425624,63.8
dataset_basic_daily,Bagging_LR,0.6743295019157088,-3.788030098113393,0.8007662835249042,-11.664708739810358,22.2
dataset_basic_daily,RF,0.5478927203065134,-3.420551932890825,0.6245210727969349,-3.978574860540785,12.8
dataset_basic_daily,ET,0.5938697318007663,1.1574666965395997,0.6091954022988506,-5.009484924147223,6.5
dataset_basic_daily,DT,0.475095785440613,4.450175300097503,0.6130268199233716,2.6615040688427127,1.6
dataset_basic_daily,Bagging_DT,0.5823754789272031,-3.797883588521389,0.6091954022988506,2.3002739315333365,5.1
dataset_basic_daily,KNN,0.5823754789272031,1.855202410381396,0.524904214559387,-1.064712639643639,2.0
dataset_basic_daily,MLP,0.6436781609195402,-0.3658813296304575,0.5938697318007663,-6.420466633813371,67.6
dataset_basic_daily,XGB,0.6130268199233716,10.385657820252892,0.6398467432950191,1.8736058312311727,17.5
dataset_basic_daily,LGBM,0.6666666666666666,4.399841586455477,0.6513409961685823,-6.856179722644162,9.6
dataset_basic_daily,HGB,0.6206896551724138,11.82546611640667,0.6283524904214559,-3.2257956136925503,8.1
dataset_basic_daily,CatBoost,0.632183908045977,-3.388663779184764,0.6130268199233716,-4.631706735799924,23.6
dataset_90day_lookback,LR,0.5363984674329502,-0.4167109657120416,0.5708812260536399,-5.102297368440456,3956.6
