dataset,model,fold,train_rows,test_rows,train_start,test_start,test_end,elapsed_s,accuracy,f1_macro,auc_roc,sharpe_proxy,max_drawdown
dataset_technical,LR,5,2257,260,2014-05-08,2023-01-02,2023-12-29,35.88,0.7384615384615385,0.7380740740740741,0.8298816568047336,-0.4500704504791195,-0.07699183483542141
dataset_technical,LR,final,2517,261,2014-05-08,2024-01-01,2024-12-30,42.45,0.7432950191570882,0.7432950191570882,0.826499351950041,-0.488332827618379,-0.05696772335567696
dataset_technical,RF,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.9,0.7739463601532567,0.7716806286603899,0.8450354609929078,-0.3054722347257033,-0.06652513809190883
dataset_technical,RF,2,1474,262,2014-05-08,2020-01-01,2020-12-31,1.15,0.8053435114503816,0.8047033718703869,0.8729508196721312,-0.3452672482595748,-0.06914380760032612
dataset_technical,RF,3,1736,261,2014-05-08,2021-01-01,2021-12-31,1.36,0.8084291187739464,0.8080882352941177,0.8796394485683988,-1.4410319166992562,-0.08977996812385518
dataset_technical,RF,4,1997,260,2014-05-08,2022-01-03,2022-12-30,1.62,0.7884615384615384,0.7883832778394377,0.8689185185185185,-1.4382261061930202,-0.20046522520119
dataset_technical,RF,5,2257,260,2014-05-08,2023-01-02,2023-12-29,1.86,0.8346153846153846,0.8345933630217042,0.897810650887574,0.20451888508992105,-0.042191455800088
dataset_technical,RF,final,2517,261,2014-05-08,2024-01-01,2024-12-30,2.16,0.7969348659003831,0.7969348659003831,0.8949864498644986,-1.6555383811578641,-0.07327690064418764
dataset_technical,DT,1,1213,261,2014-05-08,2019-01-01,2019-12-31,2.04,0.6206896551724138,0.6206673811236549,0.625354609929078,-0.09998651344941883,-0.06640757070402405
dataset_technical,DT,2,1474,262,2014-05-08,2020-01-01,2020-12-31,2.19,0.5648854961832062,0.5598585322723253,0.5601873536299766,-0.8987673669049934,-0.11839408990021562
dataset_technical,DT,3,1736,261,2014-05-08,2021-01-01,2021-12-31,2.97,0.5938697318007663,0.5912234042553192,0.6004772004241781,-0.1478721653828399,-0.06989642616805708
dataset_technical,DT,4,1997,260,2014-05-08,2022-01-03,2022-12-30,3.86,0.45384615384615384,0.4483294483294483,0.4583703703703704,-0.9094039626845253,-0.17631135710401752
dataset_technical,DT,5,2257,260,2014-05-08,2023-01-02,2023-12-29,4.86,0.7192307692307692,0.7191933837345208,0.7192307692307691,0.992420323507113,-0.038181052149777905
dataset_technical,DT,final,2517,261,2014-05-08,2024-01-01,2024-12-30,5.91,0.4904214559386973,0.4740852965684418,0.502209261223047,1.2735601596414152,-0.014179074621703897
dataset_technical,KNN,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.22,0.632183908045977,0.6262083780880774,0.6532505910165485,-1.4452898795820182,-0.09234892242096118
dataset_technical,KNN,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.29,0.5648854961832062,0.5484397677793904,0.5930620608899297,-0.1256713973775744,-0.12995482693041194
dataset_technical,KNN,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.31,0.5708812260536399,0.5344629889157855,0.6921468127724756,-2.0654994813272753,-0.15392186758971765
dataset_technical,KNN,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.34,0.6884615384615385,0.68834628190899,0.7254222222222222,-0.7392627677860711,-0.1680235271938097
dataset_technical,KNN,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.37,0.6192307692307693,0.6179591836734695,0.6690236686390533,1.6186027459426426,-0.0250311250684225
dataset_technical,KNN,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.39,0.7049808429118773,0.7038679731820526,0.7622245787675268,-1.2698434440269337,-0.07520031931654687
dataset_technical,HGB,1,1213,261,2014-05-08,2019-01-01,2019-12-31,11.0,0.7547892720306514,0.752518667772905,0.8330378250591017,-0.23688756319715334,-0.05651445174162925
dataset_technical,HGB,2,1474,262,2014-05-08,2020-01-01,2020-12-31,12.55,0.8091603053435115,0.8089822105570137,0.8792154566744731,-0.26266215446449537,-0.07914011653211672
dataset_technical,HGB,3,1736,261,2014-05-08,2021-01-01,2021-12-31,14.96,0.8007662835249042,0.7994680851063829,0.8646753858842936,-0.6089137746080884,-0.05345960229927863
dataset_technical,HGB,4,1997,260,2014-05-08,2022-01-03,2022-12-30,14.57,0.8038461538461539,0.8025581083696899,0.8958814814814814,-0.8736364590569892,-0.10735302333985629
dataset_technical,HGB,5,2257,260,2014-05-08,2023-01-02,2023-12-29,16.24,0.8192307692307692,0.8192066991167464,0.884792899408284,0.5329513703793425,-0.038774757802950824
dataset_technical,HGB,final,2517,261,2014-05-08,2024-01-01,2024-12-30,15.55,0.8314176245210728,0.8311176470588235,0.8990220336985979,-0.9942297519758373,-0.050192156404408425
dataset_technical,XGB,1,1213,261,2014-05-08,2019-01-01,2019-12-31,6.57,0.7739463601532567,0.7716806286603899,0.8443262411347519,0.012218373764412819,-0.05965249958080441
dataset_technical,XGB,2,1474,262,2014-05-08,2020-01-01,2020-12-31,6.89,0.8091603053435115,0.8091491841491841,0.8901053864168619,0.07504024098779485,-0.06587994503390132
dataset_technical,XGB,3,1736,261,2014-05-08,2021-01-01,2021-12-31,7.47,0.7969348659003831,0.7952031978680879,0.8756922351832214,-0.7106568287988504,-0.05572774586352218
dataset_technical,XGB,4,1997,260,2014-05-08,2022-01-03,2022-12-30,8.21,0.8153846153846154,0.8148477835143315,0.8985481481481482,-1.0650618892678976,-0.13216585392156227
dataset_technical,XGB,5,2257,260,2014-05-08,2023-01-02,2023-12-29,8.23,0.8307692307692308,0.8306790598543603,0.8934319526627219,0.7088800149799663,-0.034842614907685907
dataset_technical,XGB,final,2517,261,2014-05-08,2024-01-01,2024-12-30,7.87,0.8160919540229885,0.8160244360902256,0.9094497466713798,-1.1408498332841397,-0.056651404988916305
dataset_technical,LGBM,1,1213,261,2014-05-08,2019-01-01,2019-12-31,5.76,0.7662835249042146,0.7635623802664211,0.8356973995271868,-0.016136187913287102,-0.06035785864953939
dataset_technical,LGBM,2,1474,262,2014-05-08,2020-01-01,2020-12-31,6.12,0.8053435114503816,0.8052725921392034,0.8849531615925059,0.27146553403361584,-0.06587994503390131
dataset_technical,LGBM,3,1736,261,2014-05-08,2021-01-01,2021-12-31,6.33,0.7969348659003831,0.7959644232045666,0.871745021798044,-0.8495680328635627,-0.060954022008911056
dataset_technical,LGBM,4,1997,260,2014-05-08,2022-01-03,2022-12-30,6.41,0.8,0.799239724400095,0.8999703703703703,-1.048242170889837,-0.12218640441472368
dataset_technical,LGBM,5,2257,260,2014-05-08,2023-01-02,2023-12-29,6.66,0.8384615384615385,0.8383754662246166,0.8863905325443786,0.14658249642308915,-0.04180210815996883
dataset_technical,LGBM,final,2517,261,2014-05-08,2024-01-01,2024-12-30,7.67,0.8314176245210728,0.8313557330827068,0.8952515612112644,-1.1336042864811595,-0.055167104341989404
dataset_technical,CatBoost,1,1213,261,2014-05-08,2019-01-01,2019-12-31,18.55,0.7816091954022989,0.7790664864784591,0.8529550827423168,0.2542667428271267,-0.05010778458961815
dataset_technical,CatBoost,2,1474,262,2014-05-08,2020-01-01,2020-12-31,16.75,0.8282442748091603,0.8280413634175867,0.8810304449648713,-0.12646815251054042,-0.07098310798461213
dataset_technical,CatBoost,3,1736,261,2014-05-08,2021-01-01,2021-12-31,16.92,0.8084291187739464,0.8077942735949099,0.8730411217155649,-0.5916981129559271,-0.05953133103153575
dataset_technical,CatBoost,4,1997,260,2014-05-08,2022-01-03,2022-12-30,17.59,0.8192307692307692,0.8184546359436051,0.9032296296296296,-1.3238544629201552,-0.14354819606560415
dataset_technical,CatBoost,5,2257,260,2014-05-08,2023-01-02,2023-12-29,17.01,0.8307692307692308,0.8305185185185184,0.8955029585798817,0.3599512220408908,-0.0390265960101637
dataset_technical,CatBoost,final,2517,261,2014-05-08,2024-01-01,2024-12-30,17.45,0.8237547892720306,0.8236279233752497,0.9085071285495464,-1.2155103731398942,-0.0553904882680091
dataset_technical,ET,1,1213,261,2014-05-08,2019-01-01,2019-12-31,0.38,0.7739463601532567,0.7726111545901566,0.8576536643026006,-0.40351207076837525,-0.07405281354050898
dataset_technical,ET,2,1474,262,2014-05-08,2020-01-01,2020-12-31,0.44,0.8244274809160306,0.8243865477647607,0.8752049180327869,-0.2997714598702866,-0.07518461925897314
dataset_technical,ET,3,1736,261,2014-05-08,2021-01-01,2021-12-31,0.51,0.8122605363984674,0.8122164305117099,0.8867679981147638,-0.83534318357783,-0.0687355227894366
dataset_technical,ET,4,1997,260,2014-05-08,2022-01-03,2022-12-30,0.63,0.8269230769230769,0.826715443060472,0.9029629629629629,-1.5832154581264921,-0.1680864929872142
dataset_technical,ET,5,2257,260,2014-05-08,2023-01-02,2023-12-29,0.63,0.8461538461538461,0.8461174242424243,0.8998520710059171,0.1280208399564373,-0.039676603370183035
dataset_technical,ET,final,2517,261,2014-05-08,2024-01-01,2024-12-30,0.7,0.8160919540229885,0.8160676532769556,0.9094792034876871,-2.3423271281711444,-0.10402046365391414
dataset_technical,MLP,1,1213,261,2014-05-08,2019-01-01,2019-12-31,3.55,0.735632183908046,0.727899070786432,0.7968676122931442,-0.06130698916878008,-0.04838571425731342
dataset_technical,MLP,2,1474,262,2014-05-08,2020-01-01,2020-12-31,2.77,0.6603053435114504,0.6469270021046893,0.7677985948477752,0.498485042185426,-0.05027529315540964
dataset_technical,MLP,3,1736,261,2014-05-08,2021-01-01,2021-12-31,3.63,0.7547892720306514,0.7517241379310344,0.8165429480381762,0.27903760262159594,-0.034415736387505474
dataset_technical,MLP,4,1997,260,2014-05-08,2022-01-03,2022-12-30,3.9,0.7384615384615385,0.7300103842159917,0.8379851851851853,-0.16807648596435984,-0.11508106227372557
dataset_technical,MLP,5,2257,260,2014-05-08,2023-01-02,2023-12-29,4.51,0.7769230769230769,0.773491949050709,0.8671005917159764,0.574679712802091,-0.03868801324517144
dataset_technical,MLP,final,2517,261,2014-05-08,2024-01-01,2024-12-30,4.9,0.7816091954022989,0.7782762269550054,0.8678567220454814,-1.610491948767518,-0.07923503711515369
dataset_technical,Bagging_LR,1,1213,261,2014-05-08,2019-01-01,2019-12-31,8.03,0.6551724137931034,0.6545588235294117,0.7350472813238771,-0.6848976019813271,-0.1044494233344289
dataset_technical,Bagging_LR,2,1474,262,2014-05-08,2020-01-01,2020-12-31,5.08,0.6984732824427481,0.673094843244097,0.8463114754098361,-0.5266365800920533,-0.12884981158367584
dataset_technical,Bagging_LR,3,1736,261,2014-05-08,2021-01-01,2021-12-31,6.72,0.685823754789272,0.6852647058823529,0.7446683162483799,-0.4583769962240839,-0.07084466916955853
dataset_technical,Bagging_LR,4,1997,260,2014-05-08,2022-01-03,2022-12-30,8.51,0.6807692307692308,0.6734212079480622,0.7869037037037038,-2.9695666789589388,-0.20004178377242113
dataset_technical,Bagging_LR,5,2257,260,2014-05-08,2023-01-02,2023-12-29,10.11,0.7423076923076923,0.7394984372897071,0.8336094674556215,-0.04830024344082964,-0.058532562003102424
dataset_technical,Bagging_LR,final,2517,261,2014-05-08,2024-01-01,2024-12-30,11.67,0.7164750957854407,0.7149645808736718,0.7944503358077059,0.08885053707536543,-0.038824782935901345
dataset_technical,Bagging_DT,1,1213,261,2014-05-08,2019-01-01,2019-12-31,4.61,0.7816091954022989,0.779746835443038,0.8513593380614657,0.17594261974143297,-0.056472242016942995
dataset_technical,Bagging_DT,2,1474,262,2014-05-08,2020-01-01,2020-12-31,5.43,0.8206106870229007,0.8203987573472573,0.8861826697892271,-0.7422461129876281,-0.09925681166174799
dataset_technical,Bagging_DT,3,1736,261,2014-05-08,2021-01-01,2021-12-31,6.27,0.8122605363984674,0.8115523465703971,0.8827618710969718,-0.7378099106922545,-0.06409925306034682
dataset_technical,Bagging_DT,4,1997,260,2014-05-08,2022-01-03,2022-12-30,7.86,0.8076923076923077,0.8069612734616298,0.8875851851851851,-1.143828200114646,-0.13062524023600283
dataset_technical,Bagging_DT,5,2257,260,2014-05-08,2023-01-02,2023-12-29,8.44,0.8461538461538461,0.845925925925926,0.8889349112426035,0.6201914055552499,-0.03535709688972093
dataset_technical,Bagging_DT,final,2517,261,2014-05-08,2024-01-01,2024-12-30,9.65,0.8199233716475096,0.8198281559814937,0.8961941793330976,-1.111268364955757,-0.052389485009916144
