date,close,y_true,y_pred,y_proba,log_return,position,cost,strategy_return_gross,strategy_return_net,equity_strategy,equity_buyhold
2019-01-01,1.2738043069839478,1,1,0.6285156,0.0,1,0.0,0.0,0.0,1.0,1.0
2019-01-02,1.2754288911819458,0,1,0.6935478,0.0012745671279488907,1,0.0,0.0012745671279488907,0.0012745671279488907,1.0012753797338343,1.0012753797338343
2019-01-03,1.2521913051605225,1,1,0.7040779,-0.018387446632091863,1,0.0,-0.018387446632091863,-0.018387446632091863,0.9830327141265526,0.9830327141265526
2019-01-04,1.2628813982009888,1,1,0.5128433,0.008500873475822986,1,0.0,0.008500873475822986,0.008500873475822986,0.9914249710704608,0.9914249710704608
2019-01-07,1.2734960317611694,1,1,0.6985065,0.00836996529241277,1,0.0,0.00836996529241277,0.00836996529241277,0.9997579885535886,0.9997579885535886
2019-01-08,1.278608798980713,0,1,0.50263804,0.004006711634940346,1,0.0,0.004006711634940346,0.004006711634940346,1.0037717661735193,1.0037717661735193
2019-01-09,1.2737879753112793,1,0,0.4377518,-0.003777492159940696,0,0.0,-0.0,-0.0,1.0037717661735193,0.9999871788212844
2019-01-10,1.279967188835144,0,1,0.5553501,0.004839324982988025,1,0.0,0.004839324982988025,0.004839324982988025,1.0086411166404972,1.0048381700528148
2019-01-11,1.2753963470458984,1,1,0.6815175,-0.0035774531489794446,1,0.0,-0.0035774531489794446,-0.0035774531489794446,1.005039196992473,1.001249830961649
2019-01-14,1.2849836349487305,1,1,0.5719321,0.00748899208617463,1,0.0,0.00748899208617463,0.00748899208617463,1.0125941818860051,1.0087763307938975
2019-01-15,1.2874983549118042,0,0,0.30351636,0.0019550929989054344,0,0.0,0.0,0.0,1.0125941818860051,1.0107505115603512
2019-01-16,1.2872166633605957,1,1,0.6775083,-0.0002188137718802595,1,0.0,-0.0002188137718802595,-0.0002188137718802595,1.0123726365731494,1.0105293696238198
2019-01-17,1.28857684135437,1,1,0.6765372,0.001056123573347561,1,0.0,0.001056123573347561,0.001056123573347561,1.0134423919771627,1.0115971772818069
2019-01-18,1.2983977794647217,0,0,0.37714377,0.007592641389848695,0,0.0,0.0,0.0,1.0134423919771627,1.0193071041964092
2019-01-21,1.2853471040725708,1,1,0.56846213,-0.010102225235644764,1,0.0,-0.010102225235644764,-0.010102225235644764,1.0032559083775132,1.009061672209253
2019-01-22,1.2891747951507568,1,1,0.54146254,0.0029735182284916298,1,0.0,0.0029735182284916298,0.0029735182284916298,1.0062435478077236,1.0120666008762387
2019-01-23,1.295773148536682,1,1,0.57388484,0.005105222898798798,1,0.0,0.005105222898798798,0.005105222898798798,1.0113937807673792,1.0172466378330522
2019-01-24,1.308215618133545,1,1,0.6010254,0.009556542217805879,1,0.0,0.009556542217805879,0.009556542217805879,1.021105539636488,1.0270145978946128
2019-01-25,1.3121638298034668,1,1,0.5622251,0.0030134678859851053,1,0.0,0.0030134678859851053,0.0030134678859851053,1.024187249372966,1.0301141412454042
2019-01-28,1.3208470344543457,0,1,0.5745096,0.006595670566667043,1,0.0,0.006595670566667043,0.006595670566667043,1.03096477767022,1.0369308905712398
2019-01-29,1.3160146474838257,0,0,0.29665032,-0.003665260421910348,0,0.0,-0.0,-0.0,1.03096477767022,1.0331372254501334
2019-01-30,1.30804443359375,1,0,0.3337652,-0.006074740052601002,0,0.0,-0.0,-0.0,1.03096477767022,1.0268802094812148
2019-01-31,1.3117163181304932,0,0,0.3473117,0.0028032231102147484,0,0.0,0.0,0.0,1.03096477767022,1.0297628222315496
2019-02-01,1.3109424114227295,0,0,0.30764866,-0.0005901696027055514,0,0.0,-0.0,-0.0,1.03096477767022,1.0291552668138761
2019-02-04,1.3077365159988403,0,1,0.5537935,-0.00244848422763887,1,0.0,-0.00244848422763887,-0.00244848422763887,1.0284435645077463,1.0266384787905416
2019-02-05,1.3031013011932373,0,0,0.3168522,-0.0035507526703384066,0,0.0,-0.0,-0.0,1.0284435645077463,1.0229996036664828
2019-02-06,1.2957228422164917,0,0,0.459208,-0.005678320959848307,0,0.0,-0.0,-0.0,1.0284435645077463,1.0172071448591986
2019-02-07,1.2934435606002808,1,0,0.42838383,-0.0017606301414318265,0,0.0,-0.0,-0.0,1.0284435645077463,1.0154177949537897
2019-02-08,1.2949174642562866,0,0,0.47806808,0.0011388703516697339,0,0.0,0.0,0.0,1.0284435645077463,1.016574882936555
2019-02-11,1.293677806854248,0,0,0.45057234,-0.0009577839460963055,0,0.0,-0.0,-0.0,1.0284435645077463,1.0156016899623739
2019-02-12,1.2864052057266235,1,1,0.65555245,-0.005637508834666579,1,0.0,-0.005637508834666579,-0.005637508834666579,1.0226620169019136,1.0098923348536255
2019-02-13,1.2892080545425415,0,0,0.41743904,0.002176452471002454,0,0.0,0.0,0.0,1.0226620169019136,1.0120927111599
2019-02-14,1.2856775522232056,0,1,0.5514414,-0.0027422612659033356,1,0.0,-0.0027422612659033356,-0.0027422612659033356,1.0198614521599798,1.0093210905114385
2019-02-15,1.2798361778259275,1,0,0.3953926,-0.0045537737125842005,0,0.0,-0.0,-0.0,1.0198614521599798,1.0047353198673519
2019-02-18,1.290555715560913,1,1,0.54039884,0.00834082920079657,1,0.0,0.00834082920079657,0.00834082920079657,1.028403516769731,1.0131506923670466
2019-02-19,1.2924071550369265,1,1,0.50897783,0.0014335783252406044,1,0.0,0.0014335783252406044,0.0014335783252406044,1.0298788710262428,1.014604164824207
2019-02-20,1.3061310052871704,0,0,0.2625297,0.010562844957425379,0,0.0,0.0,0.0,1.0298788710262428,1.025378072696083
2019-02-21,1.30451238155365,0,1,0.5059081,-0.0012400191838421119,1,0.0,-0.0012400191838421119,-0.0012400191838421119,1.0286025929373326,1.0241073722245537
