dataset,model,accuracy,profit_pct
dataset_basic_daily,LR,0.6551724137931034,-1.561732681233008
dataset_basic_daily,Bagging_LR,0.6743295019157088,-3.788030098113393
dataset_basic_daily,RF,0.5478927203065134,-3.420551932890825
dataset_basic_daily,ET,0.5938697318007663,1.1574666965395997
dataset_basic_daily,DT,0.47509578544061304,4.450175300097503
dataset_basic_daily,Bagging_DT,0.5823754789272031,-3.797883588521389
dataset_basic_daily,KNN,0.5823754789272031,1.8552024103813958
dataset_basic_daily,MLP,0.6436781609195402,-0.3658813296304575
dataset_basic_daily,XGB,0.6130268199233716,10.385657820252892
dataset_basic_daily,LGBM,0.6666666666666666,4.399841586455477
dataset_basic_daily,HGB,0.6206896551724138,11.82546611640667
dataset_basic_daily,CatBoost,0.632183908045977,-3.388663779184764
dataset_90day_lookback,LR,0.5363984674329502,-0.4167109657120416
dataset_90day_lookback,Bagging_LR,0.5172413793103449,-1.1141005108081359
dataset_90day_lookback,RF,0.5172413793103449,2.2898626073522887
dataset_90day_lookback,ET,0.4942528735632184,4.1315654621569164
dataset_90day_lookback,DT,0.4789272030651341,-6.474458102430114
dataset_90day_lookback,Bagging_DT,0.5517241379310345,-5.226373068186351
dataset_90day_lookback,KNN,0.4904214559386973,-0.5420055879883701
dataset_90day_lookback,MLP,0.5708812260536399,-4.260379619600874
dataset_90day_lookback,XGB,0.5325670498084292,-0.36115087376847876
dataset_90day_lookback,LGBM,0.5938697318007663,3.6654403032939653
dataset_90day_lookback,HGB,0.5823754789272031,2.7755163130531946
dataset_90day_lookback,CatBoost,0.6206896551724138,0.8590418908184905
dataset_technical,LR,0.7432950191570882,-2.8368030936498867
dataset_technical,Bagging_LR,0.7164750957854407,1.9182300801324548
dataset_technical,RF,0.7969348659003831,-12.566588466877116
dataset_technical,ET,0.8160919540229885,-17.780675425608415
dataset_technical,DT,0.4904214559386973,9.920840494597737
dataset_technical,Bagging_DT,0.8199233716475096,-8.589103624002625
dataset_technical,KNN,0.7049808429118773,-9.009247892387718
dataset_technical,MLP,0.7816091954022989,-12.600091240010592
dataset_technical,XGB,0.8160919540229885,-8.58725952389956
dataset_technical,LGBM,0.8314176245210728,-8.378720194873102
dataset_technical,HGB,0.8314176245210728,-7.598655951058264
dataset_technical,CatBoost,0.8237547892720306,-9.382231208112223
