date,close,y_true,y_pred,y_proba,log_return,position,cost,strategy_return_gross,strategy_return_net,equity_strategy,equity_buyhold
2019-01-01,1.2738043069839478,1,0,0.30370198265343995,0.0,0,0.0,0.0,0.0,1.0,1.0
2019-01-02,1.2754288911819458,0,1,0.6440534887250866,0.0012745671279488907,1,0.0,0.0012745671279488907,0.0012745671279488907,1.0012753797338343,1.0012753797338343
2019-01-03,1.2521913051605225,1,1,0.9754325320971314,-0.018387446632091863,1,0.0,-0.018387446632091863,-0.018387446632091863,0.9830327141265526,0.9830327141265526
2019-01-04,1.2628813982009888,1,0,0.3608465689507222,0.008500873475822986,0,0.0,0.0,0.0,0.9830327141265526,0.9914249710704608
2019-01-07,1.2734960317611694,1,0,0.33893024766868635,0.00836996529241277,0,0.0,0.0,0.0,0.9830327141265526,0.9997579885535886
2019-01-08,1.278608798980713,0,0,0.2640919890964078,0.004006711634940346,0,0.0,0.0,0.0,0.9830327141265526,1.0037717661735193
2019-01-09,1.2737879753112793,1,0,0.2758033373029715,-0.003777492159940696,0,0.0,-0.0,-0.0,0.9830327141265526,0.9999871788212844
2019-01-10,1.279967188835144,0,1,0.5391218988573189,0.004839324982988025,1,0.0,0.004839324982988025,0.004839324982988025,0.9878014583440098,1.0048381700528148
2019-01-11,1.2753963470458984,1,1,0.9469026644953182,-0.0035774531489794446,1,0.0,-0.0035774531489794446,-0.0035774531489794446,0.9842739584013077,1.001249830961649
2019-01-14,1.2849836349487305,1,0,0.44599398802249257,0.00748899208617463,0,0.0,0.0,0.0,0.9842739584013077,1.0087763307938975
2019-01-15,1.2874983549118042,0,0,0.05184582971607879,0.0019550929989054344,0,0.0,0.0,0.0,0.9842739584013077,1.0107505115603512
2019-01-16,1.2872166633605957,1,1,0.5610683598261237,-0.0002188137718802595,1,0.0,-0.0002188137718802595,-0.0002188137718802595,0.984058609265444,1.0105293696238198
2019-01-17,1.28857684135437,1,1,0.8018203366466943,0.001056123573347561,1,0.0,0.001056123573347561,0.001056123573347561,0.9850984457615103,1.0115971772818069
2019-01-18,1.2983977794647217,0,1,0.5769024392391836,0.007592641389848695,1,0.0,0.007592641389848695,0.007592641389848695,0.9926064115714957,1.0193071041964092
2019-01-21,1.2853471040725708,1,1,0.5503812307757143,-0.010102225235644764,1,0.0,-0.010102225235644764,-0.010102225235644764,0.9826293581026213,1.009061672209253
2019-01-22,1.2891747951507568,1,1,0.727294560687879,0.0029735182284916298,1,0.0,0.0029735182284916298,0.0029735182284916298,0.9855555728311223,1.0120666008762387
2019-01-23,1.295773148536682,1,1,0.7010808529475026,0.005105222898798798,1,0.0,0.005105222898798798,0.005105222898798798,0.9905999190093665,1.0172466378330522
2019-01-24,1.308215618133545,1,0,0.49248500466296624,0.009556542217805879,0,0.0,0.0,0.0,0.9905999190093665,1.0270145978946128
2019-01-25,1.3121638298034668,1,1,0.6810623199495238,0.0030134678859851053,1,0.0,0.0030134678859851053,0.0030134678859851053,0.9935895623879071,1.0301141412454042
2019-01-28,1.3208470344543457,0,1,0.6865431964582066,0.006595670566667043,1,0.0,0.006595670566667043,0.006595670566667043,1.0001646114124514,1.0369308905712398
2019-01-29,1.3160146474838257,0,0,0.056366007365009865,-0.003665260421910348,0,0.0,-0.0,-0.0,1.0001646114124514,1.0331372254501334
