date,USA_SP500_open,USA_SP500_high,USA_SP500_low,USA_SP500_close,USA_SP500_volume,USA_SP500_volume_sqrt,USA_NASDAQ_COMPOSITE_open,USA_NASDAQ_COMPOSITE_high,USA_NASDAQ_COMPOSITE_low,USA_NASDAQ_COMPOSITE_close,USA_NASDAQ_COMPOSITE_volume,USA_NASDAQ_COMPOSITE_volume_sqrt,USA_NASDAQ100_open,USA_NASDAQ100_high,USA_NASDAQ100_low,USA_NASDAQ100_close,USA_NASDAQ100_volume,USA_NASDAQ100_volume_sqrt,USA_RUSSELL2000_open,USA_RUSSELL2000_high,USA_RUSSELL2000_low,USA_RUSSELL2000_close,USA_RUSSELL2000_volume,USA_RUSSELL2000_volume_sqrt,USA_DJI_open,USA_DJI_high,USA_DJI_low,USA_DJI_close,USA_DJI_volume,USA_DJI_volume_sqrt,UK_FTSE100_open,UK_FTSE100_high,UK_FTSE100_low,UK_FTSE100_close,UK_FTSE100_volume,UK_FTSE100_volume_sqrt,UK_FTSE250_open,UK_FTSE250_high,UK_FTSE250_low,UK_FTSE250_close,UK_FTSE250_volume,UK_FTSE250_volume_sqrt,UK_FTSE350_open,UK_FTSE350_high,UK_FTSE350_low,UK_FTSE350_close,UK_FTSE350_volume,UK_FTSE350_volume_sqrt,UK_FTSE_ALL_SHARE_open,UK_FTSE_ALL_SHARE_high,UK_FTSE_ALL_SHARE_low,UK_FTSE_ALL_SHARE_close,UK_FTSE_ALL_SHARE_volume,UK_FTSE_ALL_SHARE_volume_sqrt
2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,1845.8599853515625,1845.8599853515625,1827.739990234375,1831.97998046875,3080600000.0,55503.1530635873,4160.02978515625,4160.9599609375,4131.7900390625,4143.06982421875,1738820000.0,41699.16066301575,3575.60009765625,3577.030029296875,3553.64990234375,3563.570068359375,1738820000.0,41699.16066301575,1160.5,1160.5,1146.5999755859375,1150.719970703125,3080600000.0,55503.1530635873,16572.169921875,16573.0703125,16416.490234375,16441.349609375,80960000.0,8997.777503361594,6749.10009765625,6759.39990234375,6707.5,6717.89990234375,459529100.0,21436.62986572283,15935.2998046875,15962.2001953125,15869.099609375,15919.099609375,225091800.0,15003.059687943656,3674.300048828125,3679.5,3653.0,3659.300048828125,68462100.0,8274.18273909877,3609.6201171875,3614.659912109375,3589.360107421875,3595.75,0.0,0.0
2014-01-03,1833.2099609375,1838.239990234375,1829.1300048828125,1831.3699951171875,2774270000.0,52671.33945515341,4148.56005859375,4152.9599609375,4124.9599609375,4131.91015625,1667480000.0,40834.78908969655,3564.93994140625,3567.510009765625,3537.610107421875,3538.72998046875,1667480000.0,40834.78908969655,1151.760009765625,1157.760009765625,1151.219970703125,1156.0899658203125,2774270000.0,52671.33945515341,16456.890625,16518.740234375,16439.30078125,16469.990234375,72770000.0,8530.533394811839,6717.89990234375,6747.2998046875,6699.2998046875,6730.7001953125,374841500.0,19360.823846107374,15919.099609375,16022.099609375,15855.400390625,16020.5,198534700.0,14090.234206712108,3659.300048828125,3676.300048828125,3648.800048828125,3668.800048828125,57337700.0,7572.166136582055,3595.75,3612.179931640625,3585.68994140625,3605.0,0.0,0.0
2014-01-06,1832.31005859375,1837.1600341796875,1823.72998046875,1826.77001953125,3294850000.0,57400.78396677174,4137.02978515625,4139.77978515625,4103.75,4113.68017578125,2292840000.0,47883.60888654906,3539.02001953125,3542.52001953125,3512.449951171875,3526.9599609375,2292840000.0,47883.60888654906,1159.27001953125,1159.8499755859375,1146.969970703125,1147.1600341796875,3294850000.0,57400.78396677174,16474.0390625,16532.990234375,16405.51953125,16425.099609375,89380000.0,9454.099639838792,6730.7001953125,6752.0,6714.60009765625,6730.7001953125,524387000.0,22899.497811087473,16020.599609375,16086.5,15999.099609375,16049.2998046875,183144300.0,13533.081688957618,3668.800048828125,3680.89990234375,3660.800048828125,3669.800048828125,70753200.0,8411.492138734959,3605.010009765625,3616.8701171875,3597.580078125,3606.159912109375,0.0,0.0
2014-01-07,1828.7099609375,1840.0999755859373,1828.7099609375,1837.8800048828125,3511750000.0,59260.02024974342,4128.56982421875,4158.18017578125,4126.47998046875,4153.18017578125,2278220000.0,47730.70290703878,3539.2900390625,3562.989990234375,3535.5,3557.85009765625,2278220000.0,47730.70290703878,1150.8599853515625,1160.02001953125,1150.8599853515625,1157.6300048828125,3511750000.0,59260.02024974342,16429.01953125,16562.3203125,16429.01953125,16530.939453125,81270000.0,9014.987520790031,6730.7001953125,6768.89990234375,6718.10009765625,6755.5,672375600.0,25930.206323899547,16049.2998046875,16088.400390625,16013.400390625,16069.2001953125,201672300.0,14201.137278401333,3669.800048828125,3688.300048828125,3663.199951171875,3681.89990234375,87404800.0,9349.05342802147,3606.159912109375,3624.10009765625,3599.840087890625,3618.159912109375,0.0,0.0
2014-01-08,1837.9000244140625,1840.02001953125,1831.4000244140625,1837.489990234375,3652140000.0,60432.93803878809,4154.27978515625,4171.75,4145.0,4165.60986328125,2345220000.0,48427.47154250364,3558.300048828125,3575.14990234375,3551.1201171875,3567.5400390625,2345220000.0,48427.47154250364,1159.1800537109375,1159.3699951171875,1151.969970703125,1157.4599609375,3652140000.0,60432.93803878809,16527.66015625,16528.880859375,16416.689453125,16462.740234375,103260000.0,10161.692772368195,6755.5,6755.5,6713.39990234375,6721.7998046875,720025300.0,26833.287163521356,16069.2001953125,16071.400390625,15990.0,16001.7001953125,249448300.0,15793.932379239819,3681.89990234375,3681.89990234375,3659.800048828125,3664.0,96967200.0,9847.192493294726,3618.159912109375,3618.169921875,3596.840087890625,3600.8798828125,0.0,0.0
2014-01-09,1839.0,1843.22998046875,1830.3800048828125,1838.1300048828125,3581150000.0,59842.7105001102,4179.0400390625,4182.740234375,4142.7001953125,4156.18994140625,2214770000.0,47061.34294726405,3576.330078125,3579.39990234375,3541.81005859375,3552.580078125,2214770000.0,47061.34294726405,1161.260009765625,1163.8800048828125,1152.1700439453125,1158.3499755859375,3581150000.0,59842.7105001102,16471.41015625,16525.349609375,16378.6103515625,16444.759765625,83990000.0,9164.605828948674,6721.7998046875,6746.39990234375,6679.2998046875,6691.2998046875,782896500.0,27980.287704024773,16001.7001953125,16035.2998046875,15924.7998046875,15949.0,239523700.0,15476.553233843768,3664.0,3676.300048828125,3641.800048828125,3648.10009765625,102242100.0,10111.483570673494,3600.8701171875,3612.659912109375,3579.610107421875,3585.679931640625,0.0,0.0
2014-01-10,1840.06005859375,1843.1500244140625,1832.4300537109373,1842.3699951171875,3335710000.0,57755.605788529305,4168.93994140625,4174.68017578125,4142.2099609375,4174.669921875,2143070000.0,46293.30405145003,3565.679931640625,3568.469970703125,3536.449951171875,3565.080078125,2143070000.0,46293.30405145003,1160.1700439453125,1164.530029296875,1154.8900146484375,1164.530029296875,3335710000.0,57755.605788529305,16453.619140625,16487.650390625,16379.01953125,16437.05078125,85190000.0,9229.84290223837,6691.2998046875,6769.89990234375,6691.2998046875,6739.89990234375,811611800.0,28488.801308584396,15949.0,16191.7001953125,15944.7001953125,16191.7001953125,250221900.0,15818.403838567277,3648.10009765625,3691.0,3648.10009765625,3679.0,106183400.0,10304.53298310991,3585.679931640625,3627.070068359375,3585.679931640625,3616.030029296875,0.0,0.0
2014-01-13,1841.260009765625,1843.449951171875,1815.52001953125,1819.199951171875,3591350000.0,59927.87331451033,4167.41015625,4179.47021484375,4097.990234375,4113.2998046875,2322240000.0,48189.6254395072,3559.389892578125,3572.39990234375,3499.3701171875,3512.800048828125,2322240000.0,48189.6254395072,1162.93994140625,1164.1199951171875,1142.3800048828125,1148.0899658203125,3591350000.0,59927.87331451033,16434.029296875,16453.130859375,16240.599609375,16257.9404296875,111680000.0,10567.875850898325,6739.89990234375,6765.60009765625,6731.0,6757.2001953125,598026900.0,24454.5885264913,16191.7001953125,16262.2998046875,16191.7001953125,16254.7998046875,208205900.0,14429.341634322753,3679.0,3693.10009765625,3675.199951171875,3689.199951171875,80623300.0,8979.04783370709,3616.02001953125,3629.9599609375,3612.639892578125,3626.330078125,0.0,0.0
2014-01-14,1821.3599853515625,1839.260009765625,1821.3599853515625,1838.8800048828125,3353270000.0,57907.42612135338,4129.60009765625,4183.83984375,4125.81005859375,4183.02001953125,2034180000.0,45101.884661286604,3526.199951171875,3581.60009765625,3525.469970703125,3580.64990234375,2034180000.0,45101.884661286604,1151.72998046875,1163.4300537109375,1151.0,1163.4300537109375,3353270000.0,57907.42612135338,16261.990234375,16373.919921875,16260.830078125,16373.8603515625,98610000.0,9930.256794262674,6757.2001953125,6772.60009765625,6694.10009765625,6766.89990234375,568346600.0,23840.020973145136,16254.7998046875,16254.7998046875,16104.099609375,16236.0,207861100.0,14417.388806576591,3689.199951171875,3694.89990234375,3656.60009765625,3693.0,77890800.0,8825.576468424031,3626.330078125,3631.580078125,3595.030029296875,3629.6201171875,0.0,0.0
