date,USA_cpi_value,USA_cpi_days_since_update,UK_cpi_value,UK_cpi_days_since_update,USA_cpi_yoy,USA_cpi_yoy_days_since_update,UK_cpi_yoy,UK_cpi_yoy_days_since_update,UK_cpi_yoy_log
2014-04-03,235.169,16.0,99.0,20,,,1.9567456230690006,20.0,0.6712826968632066
2014-04-04,235.169,17.0,99.0,21,,,1.9567456230690006,21.0,0.6712826968632066
2014-04-07,235.169,20.0,99.0,24,,,1.9567456230690006,24.0,0.6712826968632066
2014-04-08,235.169,21.0,99.0,25,,,1.9567456230690006,25.0,0.6712826968632066
2014-04-09,235.169,22.0,99.0,26,,,1.9567456230690006,26.0,0.6712826968632066
2014-04-10,235.169,23.0,99.0,27,,,1.9567456230690006,27.0,0.6712826968632066
2014-04-11,235.169,24.0,99.5,0,,,1.7382413087934534,0.0,0.5528738600094886
2014-04-14,235.169,27.0,99.5,3,,,1.7382413087934534,3.0,0.5528738600094886
2014-04-15,235.64,0.0,99.5,4,,,1.7382413087934534,4.0,0.5528738600094886
2014-04-16,235.64,1.0,99.5,5,,,1.7382413087934534,5.0,0.5528738600094886
2014-04-17,235.64,2.0,99.5,6,,,1.7382413087934534,6.0,0.5528738600094886
2014-04-18,235.64,3.0,99.5,7,,,1.7382413087934534,7.0,0.5528738600094886
2014-04-21,235.64,6.0,99.5,10,,,1.7382413087934534,10.0,0.5528738600094886
2014-04-22,235.64,7.0,99.5,11,,,1.7382413087934534,11.0,0.5528738600094886
2014-04-23,235.64,8.0,99.5,12,,,1.7382413087934534,12.0,0.5528738600094886
2014-04-24,235.64,9.0,99.5,13,,,1.7382413087934534,13.0,0.5528738600094886
2014-04-25,235.64,10.0,99.5,14,,,1.7382413087934534,14.0,0.5528738600094886
2014-04-28,235.64,13.0,99.5,17,,,1.7382413087934534,17.0,0.5528738600094886
2014-04-29,235.64,14.0,99.5,18,,,1.7382413087934534,18.0,0.5528738600094886
2014-04-30,235.64,15.0,99.5,19,,,1.7382413087934534,19.0,0.5528738600094886
2014-05-01,235.64,16.0,99.5,20,,,1.7382413087934534,20.0,0.5528738600094886
2014-05-02,235.64,17.0,99.5,21,,,1.7382413087934534,21.0,0.5528738600094886
2014-05-05,235.64,20.0,99.5,24,,,1.7382413087934534,24.0,0.5528738600094886
2014-05-06,235.64,21.0,99.5,25,,,1.7382413087934534,25.0,0.5528738600094886
2014-05-07,235.64,22.0,99.5,26,,,1.7382413087934534,26.0,0.5528738600094886
2014-05-08,235.64,23.0,99.5,27,,,1.7382413087934534,27.0,0.5528738600094886
2014-05-09,235.64,24.0,99.5,28,,,1.7382413087934534,28.0,0.5528738600094886
2014-05-12,235.64,27.0,99.7,0,,,1.6309887869520923,0.0,0.4891864486625111
2014-05-13,235.64,28.0,99.7,1,,,1.6309887869520923,1.0,0.4891864486625111
