date,realtime_start,value
2014-01-01,2019-07-26,17104.555
2014-04-01,2019-07-26,17432.909
2014-07-01,2019-07-26,17721.657
2014-10-01,2019-07-26,17849.912
2015-01-01,2019-07-26,17984.178
2015-04-01,2019-07-26,18219.405
2019-01-01,2019-07-26,21098.827
2015-07-01,2019-07-26,18344.713
2017-07-01,2019-07-26,19611.704
2016-01-01,2019-07-26,18424.283
2019-04-01,2019-07-26,21337.898
2016-04-01,2019-07-26,18637.253
2017-04-01,2019-07-26,19356.649
2017-01-01,2019-07-26,19190.431
2016-07-01,2019-07-26,18806.743
2019-04-01,2019-08-29,21339.121
2019-04-01,2019-09-26,21340.267
2019-07-01,2019-10-30,21525.819
2019-07-01,2019-11-27,21542.104
2019-07-01,2019-12-20,21542.54
2019-10-01,2020-01-30,21734.266
2019-10-01,2020-02-27,21726.779
2019-10-01,2020-03-26,21729.124
2020-01-01,2020-04-29,21537.94
2020-01-01,2020-05-28,21534.907
2020-01-01,2020-06-25,21539.689
2020-01-01,2020-07-30,21561.139
2019-04-01,2020-07-30,21329.877
2020-04-01,2020-07-30,19408.759
2019-10-01,2020-07-30,21747.394
2019-07-01,2020-07-30,21540.325
2016-01-01,2020-07-30,18470.156
2018-10-01,2020-07-30,20909.853
2015-01-01,2020-07-30,18003.399
2015-04-01,2020-07-30,18223.577
2015-07-01,2020-07-30,18347.425
2015-10-01,2020-07-30,18378.803
2016-04-01,2020-07-30,18656.207
2019-01-01,2020-07-30,21115.309
2016-10-01,2020-07-30,19032.58
2016-07-01,2020-07-30,18821.359
2017-04-01,2020-07-30,19379.232
2017-07-01,2020-07-30,19617.288
2017-10-01,2020-07-30,19937.963
2018-01-01,2020-07-30,20242.215
2018-04-01,2020-07-30,20552.653
2018-07-01,2020-07-30,20742.723
2017-01-01,2020-07-30,19237.435
2020-04-01,2020-08-27,19486.509
2020-04-01,2020-09-30,19520.114
2020-07-01,2020-10-29,21157.635
2020-07-01,2020-11-25,21157.122
2020-07-01,2020-12-22,21170.252
2015-07-01,2021-01-08,18347.425
2015-04-01,2021-01-08,18223.577
2015-01-01,2021-01-08,18003.399
2014-10-01,2021-01-08,17849.912
2014-07-01,2021-01-08,17721.657
2014-04-01,2021-01-08,17432.909
2014-01-01,2021-01-08,17104.555
2015-10-01,2021-01-08,18378.803
2016-01-01,2021-01-08,18470.156
2016-07-01,2021-01-08,18821.359
2020-04-01,2021-01-08,19520.114
2020-01-01,2021-01-08,21561.139
2019-10-01,2021-01-08,21747.394
2019-07-01,2021-01-08,21540.325
2019-04-01,2021-01-08,21329.877
2019-01-01,2021-01-08,21115.309
2018-10-01,2021-01-08,20909.853
2018-07-01,2021-01-08,20742.723
2018-04-01,2021-01-08,20552.653
2018-01-01,2021-01-08,20242.215
2017-10-01,2021-01-08,19937.963
2017-07-01,2021-01-08,19617.288
2017-04-01,2021-01-08,19379.232
2017-01-01,2021-01-08,19237.435
2016-10-01,2021-01-08,19032.58
2016-04-01,2021-01-08,18656.207
2020-07-01,2021-01-08,21170.252
2020-10-01,2021-01-28,21479.529
2020-10-01,2021-02-25,21487.896
2020-10-01,2021-03-25,21494.731
2021-01-01,2021-04-29,22048.894
2021-01-01,2021-05-27,22061.025
2021-01-01,2021-06-24,22061.503
2020-04-01,2021-07-29,19477.444
2014-01-01,2021-07-29,17144.281
2014-07-01,2021-07-29,17743.227
2020-01-01,2021-07-29,21481.367
2014-10-01,2021-07-29,17852.54
2020-07-01,2021-07-29,21138.574
2014-04-01,2021-07-29,17462.703
2019-07-01,2021-07-29,21505.012
2021-01-01,2021-07-29,22038.226
2018-01-01,2021-07-29,20143.716
2017-07-01,2021-07-29,19558.693
2017-04-01,2021-07-29,19322.92
2018-04-01,2021-07-29,20492.492
2020-10-01,2021-07-29,21477.597
2017-01-01,2021-07-29,19153.912
2018-07-01,2021-07-29,20659.102
2016-10-01,2021-07-29,18968.041
2018-10-01,2021-07-29,20813.325
2015-01-01,2021-07-29,17991.348
2016-07-01,2021-07-29,18775.459
2016-04-01,2021-07-29,18611.617
2021-04-01,2021-07-29,22722.581
2016-01-01,2021-07-29,18425.306
2019-04-01,2021-07-29,21289.268
2015-10-01,2021-07-29,18332.079
2017-10-01,2021-07-29,19882.965
2015-07-01,2021-07-29,18306.96
2015-04-01,2021-07-29,18193.707
2019-10-01,2021-07-29,21694.458
2019-01-01,2021-07-29,21001.591
2021-04-01,2021-08-26,22731.369
2021-04-01,2021-09-30,22740.959
2021-07-01,2021-10-28,23173.496
2021-07-01,2021-11-24,23187.042
2021-07-01,2021-12-22,23202.344
2021-10-01,2022-01-27,23992.355
2021-10-01,2022-02-24,24008.472
2021-10-01,2022-03-30,24002.815
2022-01-01,2022-04-28,24382.683
2022-01-01,2022-05-26,24384.289
2022-01-01,2022-06-29,24386.734
2022-04-01,2022-07-28,24851.809
2022-04-01,2022-08-25,24882.878
2019-04-01,2022-09-29,21272.448
2020-07-01,2022-09-29,21362.428
2019-01-01,2022-09-29,21013.085
2019-10-01,2022-09-29,21706.532
2020-04-01,2022-09-29,19636.731
2019-07-01,2022-09-29,21531.839
2021-01-01,2022-09-29,22313.85
2020-01-01,2022-09-29,21538.032
2020-10-01,2022-09-29,21704.706
2018-07-01,2022-09-29,20687.278
2021-04-01,2022-09-29,23046.934
2018-04-01,2022-09-29,20470.197
2018-01-01,2022-09-29,20155.486
2017-10-01,2022-09-29,19894.75
2017-07-01,2022-09-29,19561.896
2022-04-01,2022-09-29,25248.476
2022-01-01,2022-09-29,24740.48
2021-07-01,2022-09-29,23550.42
2017-04-01,2022-09-29,19304.506
2018-10-01,2022-09-29,20819.269
2017-01-01,2022-09-29,19148.194
2021-10-01,2022-09-29,24349.121
2022-07-01,2022-10-27,25663.289
2022-07-01,2022-11-30,25698.96
2022-07-01,2022-12-22,25723.941
2022-10-01,2023-01-26,26132.458
2022-10-01,2023-02-23,26144.956
2022-10-01,2023-03-30,26137.992
2023-01-01,2023-04-27,26465.865
2023-01-01,2023-05-25,26486.287
2023-01-01,2023-06-29,26529.774
2023-04-01,2023-07-27,26834.953
2023-04-01,2023-08-30,26798.605
2022-07-01,2023-09-28,25994.639
2021-04-01,2023-09-28,23292.362
2022-04-01,2023-09-28,25544.273
2022-10-01,2023-09-28,26408.405
2022-01-01,2023-09-28,25029.116
2021-01-01,2023-09-28,22600.185
2023-01-01,2023-09-28,26813.601
2021-07-01,2023-09-28,23828.973
2023-04-01,2023-09-28,27063.012
2021-10-01,2023-09-28,24654.603
2020-04-01,2023-09-28,19913.143
2020-07-01,2023-09-28,21647.64
2014-04-01,2023-09-28,17518.508
2014-01-01,2023-09-28,17197.738
2014-07-01,2023-09-28,17804.228
2020-10-01,2023-09-28,22024.502
2014-10-01,2023-09-28,17912.079
2015-04-01,2023-09-28,18279.784
2015-01-01,2023-09-28,18063.529
2020-01-01,2023-09-28,21706.513
2019-07-01,2023-09-28,21694.282
