date,realtime_start,value
2017-11-01,2018-01-07,247.592
2016-01-01,2018-01-07,238.106
2015-12-01,2018-01-07,237.846
2015-10-01,2018-01-07,237.792
2014-01-01,2018-01-07,235.385
2014-02-01,2018-01-07,235.672
2014-03-01,2018-01-07,235.978
2014-04-01,2018-01-07,236.471
2014-05-01,2018-01-07,236.832
2014-06-01,2018-01-07,237.029
2014-07-01,2018-01-07,237.424
2014-08-01,2018-01-07,237.256
2014-09-01,2018-01-07,237.486
2014-10-01,2018-01-07,237.506
2014-11-01,2018-01-07,237.118
2014-12-01,2018-01-07,236.29
2015-01-01,2018-01-07,234.913
2015-02-01,2018-01-07,235.489
2015-03-01,2018-01-07,235.989
2015-04-01,2018-01-07,236.201
2015-05-01,2018-01-07,236.891
2015-06-01,2018-01-07,237.419
2015-07-01,2018-01-07,237.876
2015-08-01,2018-01-07,237.811
2015-09-01,2018-01-07,237.467
2015-11-01,2018-01-07,238.153
2017-12-01,2018-01-12,247.963
2015-07-01,2018-02-14,237.993
2016-06-01,2018-02-14,240.074
2016-07-01,2018-02-14,240.058
2015-06-01,2018-02-14,237.618
2017-03-01,2018-02-14,243.717
2016-04-01,2018-02-14,238.843
2015-11-01,2018-02-14,238.072
2016-08-01,2018-02-14,240.569
2015-08-01,2018-02-14,237.989
2016-02-01,2018-02-14,237.532
2016-09-01,2018-02-14,241.017
2017-01-01,2018-02-14,244.028
2016-01-01,2018-02-14,237.99
2016-10-01,2018-02-14,241.667
2015-10-01,2018-02-14,237.764
2016-12-01,2018-02-14,242.784
2015-12-01,2018-02-14,237.827
2016-11-01,2018-02-14,242.081
2016-03-01,2018-02-14,238.022
2017-02-01,2018-02-14,244.102
2015-05-01,2018-02-14,236.952
2017-04-01,2018-02-14,244.087
2014-04-01,2018-02-14,236.463
2014-03-01,2018-02-14,235.956
2014-02-01,2018-02-14,235.522
2014-01-01,2018-02-14,235.347
2018-01-01,2018-02-14,249.245
2014-06-01,2018-02-14,237.188
2014-05-01,2018-02-14,236.867
2014-07-01,2018-02-14,237.485
2017-05-01,2018-02-14,243.911
2015-04-01,2018-02-14,236.165
2017-06-01,2018-02-14,244.032
2015-03-01,2018-02-14,235.956
2017-07-01,2018-02-14,244.236
2015-02-01,2018-02-14,235.274
2017-08-01,2018-02-14,245.262
2015-01-01,2018-02-14,234.836
2017-09-01,2018-02-14,246.392
2014-12-01,2018-02-14,236.27
2014-11-01,2018-02-14,237.042
2017-10-01,2018-02-14,246.583
2014-10-01,2018-02-14,237.447
2014-09-01,2018-02-14,237.452
2017-11-01,2018-02-14,247.411
2014-08-01,2018-02-14,237.439
2017-12-01,2018-02-14,247.91
2016-05-01,2018-02-14,239.439
2018-02-01,2018-03-13,249.619
2018-03-01,2018-04-11,249.462
2018-04-01,2018-05-10,250.013
2018-05-01,2018-06-12,250.535
2018-06-01,2018-07-12,250.857
2018-07-01,2018-08-10,251.286
2018-08-01,2018-09-13,251.846
2018-09-01,2018-10-11,251.994
2018-10-01,2018-11-14,252.827
2018-11-01,2018-12-12,252.876
2018-12-01,2019-01-11,252.733
2017-07-01,2019-02-11,244.39
2015-03-01,2019-02-11,236.005
2017-06-01,2019-02-11,244.182
2018-08-01,2019-02-11,251.879
2015-04-01,2019-02-11,236.156
2017-05-01,2019-02-11,243.962
2016-05-01,2019-02-11,239.464
2015-05-01,2019-02-11,236.974
2018-06-01,2019-02-11,251.134
2017-04-01,2019-02-11,244.051
2018-03-01,2019-02-11,249.498
2015-06-01,2019-02-11,237.684
2018-02-01,2019-02-11,249.369
2018-11-01,2019-02-11,252.76
2014-04-01,2019-02-11,236.468
2017-08-01,2019-02-11,245.297
2017-12-01,2019-02-11,247.901
2014-06-01,2019-02-11,237.231
2014-07-01,2019-02-11,237.498
2018-09-01,2019-02-11,252.01
2017-11-01,2019-02-11,247.332
2014-08-01,2019-02-11,237.46
2015-02-01,2019-02-11,235.236
2014-09-01,2019-02-11,237.477
2014-10-01,2019-02-11,237.43
2014-11-01,2019-02-11,236.983
2017-09-01,2019-02-11,246.418
2014-12-01,2019-02-11,236.252
2015-01-01,2019-02-11,234.718
2018-10-01,2019-02-11,252.794
2017-10-01,2019-02-11,246.587
2014-05-01,2019-02-11,236.918
2017-03-01,2019-02-11,243.749
2015-12-01,2019-02-11,237.817
2016-04-01,2019-02-11,238.827
2016-06-01,2019-02-11,240.167
2014-01-01,2019-02-11,235.288
2016-03-01,2019-02-11,238.038
2016-07-01,2019-02-11,240.15
2018-07-01,2019-02-11,251.597
2016-02-01,2019-02-11,237.469
2016-08-01,2019-02-11,240.602
2018-05-01,2019-02-11,250.646
2016-01-01,2019-02-11,237.833
2016-09-01,2019-02-11,241.051
2014-02-01,2019-02-11,235.547
2015-07-01,2019-02-11,238.053
2016-10-01,2019-02-11,241.691
2018-01-01,2019-02-11,248.884
2014-03-01,2019-02-11,236.028
2017-01-01,2019-02-11,243.78
2015-09-01,2019-02-11,237.506
2016-11-01,2019-02-11,242.029
2018-04-01,2019-02-11,249.956
2017-02-01,2019-02-11,243.961
2015-11-01,2019-02-11,238.016
2015-10-01,2019-02-11,237.781
2016-12-01,2019-02-11,242.772
2015-08-01,2019-02-11,238.028
2018-12-01,2019-02-11,252.723
2019-01-01,2019-02-13,252.673
2019-02-01,2019-03-12,253.113
2019-03-01,2019-04-10,254.148
2019-04-01,2019-05-10,254.958
2019-05-01,2019-06-12,255.155
2019-06-01,2019-07-11,255.305
2019-07-01,2019-08-13,256.161
2019-08-01,2019-09-12,256.3
2019-09-01,2019-10-10,256.358
2019-10-01,2019-11-13,257.271
2019-11-01,2019-12-11,257.936
2019-12-01,2020-01-14,258.501
2018-07-01,2020-02-11,251.482
2018-08-01,2020-02-11,251.905
2019-04-01,2020-02-11,254.943
2019-12-01,2020-02-11,258.444
2018-10-01,2020-02-11,252.777
2019-11-01,2020-02-11,257.824
2018-11-01,2020-02-11,252.662
2019-10-01,2020-02-11,257.229
2018-12-01,2020-02-11,252.653
2019-08-01,2020-02-11,256.294
2019-01-01,2020-02-11,252.55
2019-07-01,2020-02-11,256.087
2019-02-01,2020-02-11,253.181
2019-06-01,2020-02-11,255.402
2019-03-01,2020-02-11,254.095
2019-05-01,2020-02-11,255.167
2018-09-01,2020-02-11,252.261
2019-09-01,2020-02-11,256.593
2017-04-01,2020-02-11,244.058
2018-05-01,2020-02-11,250.64
2016-06-01,2020-02-11,240.144
2016-05-01,2020-02-11,239.44
2016-04-01,2020-02-11,238.835
2016-03-01,2020-02-11,237.99
2016-02-01,2020-02-11,237.514
2016-01-01,2020-02-11,237.827
2015-12-01,2020-02-11,237.761
2015-11-01,2020-02-11,238.017
2016-07-01,2020-02-11,240.111
2015-10-01,2020-02-11,237.733
2015-08-01,2020-02-11,238.033
2015-07-01,2020-02-11,238.034
2015-06-01,2020-02-11,237.657
2015-05-01,2020-02-11,237.001
2015-04-01,2020-02-11,236.222
2015-02-01,2020-02-11,235.342
2015-01-01,2020-02-11,234.747
2018-06-01,2020-02-11,251.176
2015-09-01,2020-02-11,237.498
2016-08-01,2020-02-11,240.595
2015-03-01,2020-02-11,235.976
2016-10-01,2020-02-11,241.641
2018-03-01,2020-02-11,249.413
2018-02-01,2020-02-11,249.475
2016-09-01,2020-02-11,241.068
2018-01-01,2020-02-11,248.816
2017-12-01,2020-02-11,247.847
2017-10-01,2020-02-11,246.57
2017-09-01,2020-02-11,246.445
2017-08-01,2020-02-11,245.304
2017-11-01,2020-02-11,247.333
2017-06-01,2020-02-11,244.179
2017-07-01,2020-02-11,244.328
2016-12-01,2020-02-11,242.712
2017-01-01,2020-02-11,243.717
2017-02-01,2020-02-11,244.028
2016-11-01,2020-02-11,241.993
2018-04-01,2020-02-11,249.957
2017-05-01,2020-02-11,243.926
2017-03-01,2020-02-11,243.721
2020-01-01,2020-02-13,258.82
2020-02-01,2020-03-11,259.05
2020-03-01,2020-04-10,257.953
2020-04-01,2020-05-12,255.902
2020-05-01,2020-06-10,255.768
2020-06-01,2020-07-14,257.214
2020-07-01,2020-08-12,258.723
2020-08-01,2020-09-11,259.681
2020-09-01,2020-10-13,260.209
2020-10-01,2020-11-12,260.325
2020-11-01,2020-12-10,260.817
2020-11-01,2021-01-08,260.817
2014-05-01,2021-01-08,236.918
2014-06-01,2021-01-08,237.231
2014-07-01,2021-01-08,237.498
2014-08-01,2021-01-08,237.46
2014-09-01,2021-01-08,237.477
2014-10-01,2021-01-08,237.43
2014-11-01,2021-01-08,236.983
2014-12-01,2021-01-08,236.252
2015-01-01,2021-01-08,234.747
2015-02-01,2021-01-08,235.342
2015-03-01,2021-01-08,235.976
2015-04-01,2021-01-08,236.222
2015-05-01,2021-01-08,237.001
2015-06-01,2021-01-08,237.657
2015-07-01,2021-01-08,238.034
2015-08-01,2021-01-08,238.033
2015-09-01,2021-01-08,237.498
2015-10-01,2021-01-08,237.733
2015-11-01,2021-01-08,238.017
2015-12-01,2021-01-08,237.761
2016-01-01,2021-01-08,237.827
2016-02-01,2021-01-08,237.514
2016-03-01,2021-01-08,237.99
2014-04-01,2021-01-08,236.468
