date,realtime_start,value
2017-08-01,2018-01-07,0.2132
2017-07-01,2018-01-07,0.2124
2017-06-01,2018-01-07,0.2121
2017-05-01,2018-01-07,0.2126
2017-04-01,2018-01-07,0.2114
2017-03-01,2018-01-07,0.2095
2017-02-01,2018-01-07,0.2106
2017-01-01,2018-01-07,0.2253
2015-09-01,2018-01-07,0.4544
2016-12-01,2018-01-07,0.2125
2016-10-01,2018-01-07,0.212
2016-09-01,2018-01-07,0.213
2016-08-01,2018-01-07,0.2478
2016-07-01,2018-01-07,0.4577
2016-06-01,2018-01-07,0.4597
2016-05-01,2018-01-07,0.4633
2016-04-01,2018-01-07,0.4663
2016-03-01,2018-01-07,0.4646
2016-02-01,2018-01-07,0.4657
2016-01-01,2018-01-07,0.4659
2015-12-01,2018-01-07,0.4575
2015-11-01,2018-01-07,0.4636
2016-11-01,2018-01-07,0.2108
2016-06-01,2018-03-09,0.4598
2017-01-01,2018-03-09,0.2135
2018-01-01,2018-03-09,0.4631
2018-02-01,2018-03-09,0.4634
2018-03-01,2018-04-05,0.4637
2018-04-01,2018-06-05,0.4617
2018-05-01,2018-06-05,0.4529
2018-06-01,2018-07-03,0.4507
2018-07-01,2018-08-02,0.4545
2018-08-01,2018-09-04,0.6911
2018-08-01,2018-09-05,
2018-08-01,2018-09-13,0.6911
2018-09-01,2018-10-09,0.7012
2018-10-01,2018-11-13,0.7011
2018-11-01,2018-12-17,0.7017
2018-12-01,2019-01-15,0.7027
2019-01-01,2019-02-13,0.7053
2019-01-01,2019-03-13,
2019-01-01,2019-04-11,0.7053
2019-02-01,2019-04-11,0.7061
2019-03-01,2019-04-11,0.7053
2019-04-01,2019-05-22,0.7081
2019-05-01,2019-06-14,0.7094
2019-06-01,2019-07-11,0.7085
2019-07-01,2019-07-11,0.709
2019-08-01,2019-09-11,0.7101
2019-09-01,2019-10-09,0.7098
2019-10-01,2019-12-12,0.7108
2019-11-01,2019-12-12,0.71
2019-11-01,2020-01-15,0.7105
2019-12-01,2020-01-15,0.7101
2020-01-01,2020-03-11,0.7113
2020-02-01,2020-03-11,0.7104
2020-03-01,2020-04-11,0.3192
2020-04-01,2020-05-14,0.0659
2018-12-01,2020-05-14,0.7026
2020-05-01,2020-06-11,0.0674
2020-06-01,2020-07-10,0.0646
2020-07-01,2020-09-10,0.0599
2020-08-01,2020-10-09,0.0562
2020-09-01,2020-10-09,0.0547
2020-10-01,2020-11-10,0.0538
2020-10-01,2021-01-08,0.0538
2018-01-01,2021-01-08,0.4631
2017-12-01,2021-01-08,0.4619
2017-11-01,2021-01-08,0.4493
2017-10-01,2021-01-08,0.211
2017-09-01,2021-01-08,0.2123
2017-08-01,2021-01-08,0.2132
2017-07-01,2021-01-08,0.2124
2017-06-01,2021-01-08,0.2121
2017-05-01,2021-01-08,0.2126
2017-04-01,2021-01-08,0.2114
2017-03-01,2021-01-08,0.2095
2017-02-01,2021-01-08,0.2106
2017-01-01,2021-01-08,0.2135
2018-02-01,2021-01-08,0.4634
2016-12-01,2021-01-08,0.2125
2016-10-01,2021-01-08,0.212
2016-09-01,2021-01-08,0.213
2016-08-01,2021-01-08,0.2478
2016-07-01,2021-01-08,0.4577
2016-06-01,2021-01-08,0.4598
2016-05-01,2021-01-08,0.4633
2016-04-01,2021-01-08,0.4663
2016-03-01,2021-01-08,0.4646
2016-02-01,2021-01-08,0.4657
2016-01-01,2021-01-08,0.4659
2015-12-01,2021-01-08,0.4575
2015-11-01,2021-01-08,0.4636
2015-10-01,2021-01-08,0.4622
2016-11-01,2021-01-08,0.2108
2015-09-01,2021-01-08,0.4544
2018-03-01,2021-01-08,0.4637
2018-05-01,2021-01-08,0.4529
2020-09-01,2021-01-08,0.0547
2020-08-01,2021-01-08,0.0562
2020-07-01,2021-01-08,0.0599
2020-06-01,2021-01-08,0.0646
2020-05-01,2021-01-08,0.0674
2020-04-01,2021-01-08,0.0659
2020-03-01,2021-01-08,0.3192
2020-02-01,2021-01-08,0.7104
2020-01-01,2021-01-08,0.7113
