date,realtime_start,value
2019-10-01,2020-06-19,-104324.0
2019-07-01,2020-06-19,-121594.0
2019-04-01,2020-06-19,-127691.0
2019-01-01,2020-06-19,-126616.0
2018-07-01,2020-06-19,-125241.0
2018-10-01,2020-06-19,-132452.0
2017-01-01,2020-06-19,-83894.0
2015-04-01,2020-06-19,-99318.0
2015-01-01,2020-06-19,-99045.0
2014-10-01,2020-06-19,-102378.0
2014-07-01,2020-06-19,-88671.0
2015-07-01,2020-06-19,-109638.0
2014-04-01,2020-06-19,-86551.0
2016-10-01,2020-06-19,-93705.0
2016-07-01,2020-06-19,-98931.0
2016-04-01,2020-06-19,-98979.0
2016-01-01,2020-06-19,-103250.0
2015-10-01,2020-06-19,-99354.0
2020-04-01,2020-09-18,-170541.0
2020-01-01,2020-09-18,-111516.0
2020-04-01,2020-12-18,-161362.0
2020-07-01,2020-12-18,-178513.0
2014-07-01,2021-01-08,-88671.0
2014-04-01,2021-01-08,-86551.0
2014-01-01,2021-01-08,-90219.0
2019-01-01,2021-01-08,-126616.0
2014-10-01,2021-01-08,-102378.0
2015-01-01,2021-01-08,-99045.0
2015-04-01,2021-01-08,-99318.0
2018-10-01,2021-01-08,-132452.0
2018-07-01,2021-01-08,-125241.0
2019-10-01,2021-01-08,-104324.0
2018-04-01,2021-01-08,-95414.0
2020-01-01,2021-01-08,-111516.0
2018-01-01,2021-01-08,-96587.0
2017-10-01,2021-01-08,-92782.0
2020-04-01,2021-01-08,-161362.0
2017-07-01,2021-01-08,-86234.0
2017-04-01,2021-01-08,-102359.0
2020-07-01,2021-01-08,-178513.0
2017-01-01,2021-01-08,-83894.0
2016-10-01,2021-01-08,-93705.0
2016-07-01,2021-01-08,-98931.0
2016-04-01,2021-01-08,-98979.0
2016-01-01,2021-01-08,-103250.0
2015-10-01,2021-01-08,-99354.0
2015-07-01,2021-01-08,-109638.0
2019-07-01,2021-01-08,-121594.0
2019-04-01,2021-01-08,-127691.0
2020-01-01,2021-03-23,-114561.0
2020-04-01,2021-03-23,-163248.0
2020-10-01,2021-03-23,-188484.0
2020-07-01,2021-03-23,-180917.0
2015-07-01,2021-06-23,-110070.0
2014-10-01,2021-06-23,-102766.0
2017-10-01,2021-06-23,-87401.0
2020-01-01,2021-06-23,-114788.0
2014-07-01,2021-06-23,-89171.0
2018-01-01,2021-06-23,-97269.0
2014-04-01,2021-06-23,-87153.0
2018-04-01,2021-06-23,-93584.0
2019-10-01,2021-06-23,-103640.0
2018-07-01,2021-06-23,-119874.0
2019-07-01,2021-06-23,-117485.0
2014-01-01,2021-06-23,-90898.0
2018-10-01,2021-06-23,-127508.0
